iter	Passed	Remaining
910	14610	65576
911	14621	65538
912	14630	65494
913	14640	65447
914	14648	65399
915	14658	65353
916	14667	65309
917	14677	65264
918	14686	65218
919	14707	65224
920	14738	65275
921	14763	65297
922	14787	65319
923	14806	65316
924	14835	65357
925	14862	65388
926	14879	65375
927	14905	65402
928	14925	65403
929	14937	65372
930	14955	65363
931	14972	65350
932	15000	65390
933	15023	65403
934	15041	65392
935	15072	65442
936	15100	65480
937	15116	65463
938	15128	65427
939	15141	65398
940	15160	65393
941	15171	65355
942	15188	65342
943	15197	65297
944	15207	65255
945	15217	65214
946	15241	65230
947	15263	65238
948	15288	65263
949	15317	65299
950	15337	65303
951	15356	65296
952	15372	65279
953	15382	65236
954	15391	65194
955	15401	65150
956	15411	65108
957	15420	65062
958	15431	65022
959	15440	64977
960	15450	64935
961	15459	64892
962	15473	64868
963	15488	64845
964	15504	64829
965	15514	64790
966	15525	64749
967	15534	64706
968	15544	64665
969	15554	64624
970	15564	64581
971	15574	64540
972	15583	64497
973	15593	64455
974	15605	64421
975	15630	64444
976	15653	64454
977	15675	64466
978	15703	64497
979	15727	64513
980	15739	64480
981	15749	64439
982	15758	64398
983	15768	64355
984	15779	64317
985	15789	64280
986	15799	64238
987	15809	64197
988	15818	64154
989	15828	64112
990	15838	64072
991	15848	64031
992	15857	63990
993	15869	63957
994	15878	63914
995	15887	63870
996	15896	63826
997	15906	63783
998	15915	63741
999	15924	63696
1000	15932	63651
1001	15941	63606
1002	15950	63564
1003	15963	63536
1004	15974	63500
1005	15984	63462
1006	16001	63450
1007	16016	63428
1008	16026	63390
1009	16036	63353
1010	16044	63306
1011	16054	63265
1012	16064	63226
1013	16074	63186
1014	16083	63147
1015	16093	63108
1016	16103	63068
1017	16112	63023
1018	16120	62980
1019	16129	62936
1020	16138	62893
1021	16148	62855
1022	16158	62817
1023	16174	62804
1024	16190	62786
1025	16199	62747
1026	16210	62709
1027	16219	62668
1028	16227	62623
1029	16241	62600
1030	16253	62571
1031	16268	62549
1032	16284	62535
1033	16299	62517
1034	16312	62492
1035	16325	62465
1036	16338	62440
1037	16353	62420
1038	16368	62403
1039	16384	62387
1040	16398	62365
1041	16411	62337
1042	16424	62313
1043	16438	62291
1044	16455	62278
1045	16471	62265
1046	16486	62245
1047	16499	62219
1048	16513	62196
1049	16529	62182
1050	16540	62150
1051	16551	62113
1052	16560	62075
1053	16571	62039
1054	16580	62001
1055	16590	61964
1056	16599	61923
1057	16609	61884
1058	16618	61844
1059	16627	61804
1060	16637	61766
1061	16646	61727
1062	16656	61689
1063	16665	61650
1064	16674	61610
1065	16682	61566
1066	16691	61525
1067	16700	61484
1068	16708	61441
1069	16717	61403
1070	16726	61362
1071	16735	61323
1072	16744	61282
1073	16754	61244
1074	16763	61206
1075	16772	61166
1076	16781	61127
1077	16790	61087
1078	16800	61050
1079	16809	61011
1080	16818	60972
1081	16827	60934
1082	16837	60896
1083	16846	60858
1084	16855	60818
1085	16864	60780
1086	16873	60741
1087	16882	60703
1088	16891	60664
1089	16901	60627
1090	16910	60589
1091	16919	60550
1092	16930	60519
1093	16944	60496
1094	16953	60458
1095	16962	60421
1096	16971	60383
1097	16981	60347
1098	16990	60309
1099	16999	60271
1100	17008	60234
1101	17018	60197
1102	17033	60179
1103	17047	60160
1104	17059	60133
1105	17069	60097
1106	17078	60060
1107	17088	60025
1108	17098	59990
1109	17107	59952
1110	17117	59917
1111	17126	59880
1112	17135	59842
1113	17147	59816
1114	17157	59780
1115	17170	59759
1116	17179	59721
1117	17188	59681
1118	17197	59645
1119	17206	59606
1120	17214	59568
1121	17224	59532
1122	17233	59494
1123	17242	59458
1124	17251	59421
1125	17260	59384
1126	17270	59349
1127	17278	59311
1128	17287	59272
1129	17295	59233
1130	17304	59196
1131	17314	59162
1132	17323	59126
1133	17332	59089
1134	17341	59051
1135	17350	59016
1136	17359	58979
1137	17368	58941
1138	17377	58906
1139	17386	58869
1140	17395	58833
1141	17404	58797
1142	17413	58761
1143	17427	58742
1144	17436	58706
1145	17445	58670
1146	17454	58632
1147	17462	58594
1148	17474	58566
1149	17484	58534
1150	17493	58500
1151	17504	58470
1152	17514	58437
1153	17527	58413
1154	17537	58382
1155	17552	58367
1156	17564	58342
1157	17574	58309
1158	17584	58275
1159	17592	58236
1160	17600	58197
1161	17609	58162
1162	17617	58123
1163	17627	58091
1164	17636	58056
1165	17645	58020
1166	17654	57986
1167	17664	57952
1168	17673	57918
1169	17682	57884
1170	17690	57845
1171	17700	57813
1172	17708	57773
1173	17715	57734
1174	17722	57692
1175	17731	57657
1176	17740	57621
1177	17749	57587
1178	17758	57552
1179	17767	57519
1180	17777	57486
1181	17784	57445
1182	17793	57411
1183	17802	57376
1184	17811	57341
1185	17821	57311
1186	17832	57282
1187	17851	57280
1188	17882	57316
1189	17903	57320
1190	17924	57326
1191	17942	57318
1192	17956	57300
1193	17972	57289
1194	17988	57277
1195	18001	57255
1196	18019	57250
1197	18028	57216
1198	18037	57180
1199	18047	57149
1200	18058	57122
1201	18072	57104
1202	18086	57086
1203	18098	57059
1204	18107	57027
1205	18121	57010
1206	18132	56982
1207	18141	56948
1208	18151	56917
1209	18162	56888
1210	18170	56852
1211	18179	56818
1212	18188	56785
1213	18197	56749
1214	18206	56716
1215	18215	56683
1216	18222	56643
1217	18231	56611
1218	18241	56579
1219	18250	56545
1220	18259	56513
1221	18268	56480
1222	18277	56446
1223	18284	56406
1224	18293	56373
1225	18302	56341
1226	18311	56307
1227	18319	56272
1228	18329	56240
1229	18339	56209
1230	18348	56178
1231	18357	56144
1232	18366	56112
1233	18376	56083
1234	18385	56050
1235	18399	56033
1236	18408	56000
1237	18417	55967
1238	18427	55935
1239	18436	55903
1240	18445	55871
1241	18454	55840
1242	18464	55808
1243	18473	55775
1244	18483	55747
1245	18492	55714
1246	18501	55683
1247	18509	55648
1248	18518	55614
1249	18530	55592
1250	18542	55569
1251	18558	55556
1252	18574	55544
1253	18591	55537
1254	18606	55523
1255	18618	55498
1256	18632	55482
1257	18646	55464
1258	18661	55449
1259	18675	55434
1260	18688	55414
1261	18699	55388
1262	18713	55368
1263	18728	55355
1264	18744	55343
1265	18759	55331
1266	18779	55332
1267	18792	55310
1268	18804	55287
1269	18814	55256
1270	18822	55224
1271	18831	55192
1272	18840	55160
1273	18850	55130
1274	18859	55098
1275	18867	55064
1276	18878	55039
1277	18890	55016
1278	18900	54987
1279	18909	54955
1280	18918	54922
1281	18926	54890
1282	18935	54859
1283	18944	54827
1284	18953	54795
1285	18963	54765
1286	18972	54737
1287	18982	54706
1288	18991	54676
1289	19005	54659
1290	19025	54658
1291	19038	54640
1292	19052	54623
1293	19063	54598
1294	19076	54577
1295	19087	54552
1296	19105	54546
1297	19121	54535
1298	19134	54515
1299	19143	54486
1300	19153	54456
1301	19162	54426
1302	19172	54396
1303	19181	54367
1304	19190	54335
1305	19199	54304
1306	19207	54272
1307	19216	54240
1308	19225	54210
1309	19235	54181
1310	19243	54150
1311	19252	54119
1312	19261	54088
1313	19271	54060
1314	19280	54030
1315	19294	54012
1316	19310	54002
1317	19324	53986
1318	19341	53975
1319	19356	53963
1320	19372	53952
1321	19394	53958
1322	19417	53966
1323	19434	53959
1324	19446	53937
1325	19455	53905
1326	19463	53874
1327	19472	53841
1328	19479	53806
1329	19487	53774
1330	19495	53740
1331	19505	53712
1332	19515	53686
1333	19526	53660
1334	19536	53632
1335	19546	53606
1336	19557	53582
1337	19568	53558
1338	19578	53529
1339	19588	53503
1340	19597	53473
1341	19612	53459
1342	19623	53434
1343	19638	53421
1344	19652	53405
1345	19668	53393
1346	19678	53367
1347	19692	53350
1348	19706	53335
1349	19718	53314
1350	19729	53287
1351	19738	53257
1352	19747	53228
1353	19757	53201
1354	19766	53173
1355	19774	53140
1356	19783	53110
1357	19792	53080
1358	19801	53050
1359	19810	53022
1360	19818	52990
1361	19828	52963
1362	19839	52938
1363	19848	52910
1364	19855	52876
1365	19867	52854
1366	19883	52842
1367	19895	52821
1368	19915	52821
1369	19930	52808
1370	19945	52796
1371	19961	52785
1372	19971	52757
1373	19984	52740
1374	19997	52720
1375	20010	52701
1376	20020	52675
1377	20034	52658
1378	20045	52636
1379	20055	52610
1380	20064	52580
1381	20074	52553
1382	20083	52524
1383	20092	52497
1384	20109	52487
1385	20118	52460
1386	20128	52433
1387	20139	52409
1388	20152	52391
1389	20163	52366
